SNR,Error
-30,0.04598540145985401
-29,0.06204379562043796
-28,0.07992700729927008
-27,0.10547445255474452
-26,0.14854014598540147
-25,0.20547445255474453
-24,0.2718978102189781
-23,0.345985401459854
-22,0.46277372262773725
-21,0.6237226277372263
-20,0.7386861313868613
-19,0.8412408759124088
-18,0.9361313868613139
-17,0.9821167883211679
-16,0.9948905109489051
-15,0.9989051094890511
-14,0.9992700729927008
-13,1.0
-12,1.0
-11,1.0
-10,1.0
-9,1.0
-8,1.0
-7,1.0
-6,1.0
-5,1.0
-4,1.0
-3,1.0
-2,1.0
-1,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
