SNR,Error
-25,0.08469387755102041
-24,0.11734693877551021
-23,0.17244897959183675
-22,0.24285714285714285
-21,0.3704081632653061
-20,0.5204081632653061
-19,0.6479591836734694
-18,0.7755102040816326
-17,0.8663265306122448
-16,0.9102040816326531
-15,0.95
-14,0.9581632653061225
-13,0.9683673469387755
-12,0.9775510204081632
-11,0.9857142857142858
-10,0.9846938775510204
-9,0.9908163265306122
-8,0.9908163265306122
-7,0.9857142857142858
-6,0.9887755102040816
-5,0.9877551020408163
-4,0.9928571428571429
-3,0.9989795918367347
-2,0.9928571428571429
-1,0.9948979591836735
0,0.9928571428571429
1,0.9908163265306122
2,0.9877551020408163
3,0.9959183673469387
4,0.9948979591836735
5,0.9897959183673469
6,0.9959183673469387
7,0.9938775510204082
8,0.9938775510204082
9,0.9918367346938776
10,0.9959183673469387
11,0.9877551020408163
12,0.9959183673469387
13,0.9959183673469387
14,0.9948979591836735
15,0.996938775510204
