SNR,Error
-25,0.16897810218978102
-24,0.21824817518248174
-23,0.29817518248175184
-22,0.35583941605839414
-21,0.47116788321167885
-20,0.6193430656934307
-19,0.7408759124087592
-18,0.8288321167883211
-17,0.9116788321167884
-16,0.9445255474452555
-15,0.9675182481751825
-14,0.9777372262773723
-13,0.9788321167883212
-12,0.9832116788321168
-11,0.987956204379562
-10,0.9883211678832117
-9,0.9912408759124087
-8,0.9927007299270073
-7,0.9941605839416059
-6,0.9945255474452555
-5,0.9952554744525547
-4,0.9956204379562044
-3,0.9948905109489051
-2,0.9948905109489051
-1,0.993065693430657
0,0.9934306569343065
1,0.9956204379562044
2,0.997080291970803
3,0.9948905109489051
4,0.9956204379562044
5,0.995985401459854
6,0.9952554744525547
7,0.9948905109489051
8,0.9963503649635036
9,0.9974452554744525
10,0.9963503649635036
11,0.995985401459854
12,0.997080291970803
13,0.9945255474452555
14,0.995985401459854
15,0.997080291970803
