SNR,Error
-25,0.1678832116788321
-24,0.2124087591240876
-23,0.28832116788321166
-22,0.3594890510948905
-21,0.4937956204379562
-20,0.5963503649635037
-19,0.7328467153284671
-18,0.8485401459854015
-17,0.9208029197080292
-16,0.9452554744525548
-15,0.9678832116788321
-14,0.9751824817518249
-13,0.9813868613138687
-12,0.9854014598540146
-11,0.9894160583941606
-10,0.9905109489051095
-9,0.9945255474452555
-8,0.9890510948905109
-7,0.9934306569343065
-6,0.9937956204379562
-5,0.9927007299270073
-4,0.9927007299270073
-3,0.9937956204379562
-2,0.9934306569343065
-1,0.9948905109489051
0,0.9967153284671533
1,0.995985401459854
2,0.9963503649635036
3,0.995985401459854
4,0.9945255474452555
5,0.9967153284671533
6,0.9948905109489051
7,0.995985401459854
8,0.9956204379562044
9,0.9963503649635036
10,0.9963503649635036
11,0.9952554744525547
12,0.9963503649635036
13,0.9941605839416059
14,0.9956204379562044
15,0.997080291970803
