snr,n,avg_prob,det_rate
-40,200,0.4752,0.07
-39,200,0.4643,0.095
-38,200,0.4644,0.13
-37,200,0.4961,0.1
-36,200,0.5002,0.135
-35,200,0.4955,0.165
-34,200,0.5165,0.195
-33,200,0.5168,0.245
-32,200,0.5448,0.25
-31,200,0.55,0.26
-30,200,0.5722,0.3
-29,200,0.5947,0.345
-28,200,0.6248,0.445
-27,200,0.6645,0.53
-26,200,0.6981,0.62
-25,200,0.7425,0.695
-24,200,0.7833,0.8
-23,200,0.8333,0.8
-22,200,0.8535,0.915
-21,200,0.8898,0.925
-20,200,0.9305,0.955
-19,200,0.9535,1.0
-18,200,0.9695,1.0
-17,200,0.9696,1.0
-16,200,0.9618,1.0
-15,200,0.9537,1.0
-14,200,0.9494,1.0
-13,200,0.9452,1.0
-12,200,0.941,1.0
-11,200,0.9401,1.0
-10,200,0.9371,1.0
-9,200,0.9355,1.0
-8,200,0.9365,1.0
-7,200,0.9371,1.0
-6,200,0.9367,1.0
-5,200,0.9368,1.0
-4,200,0.9371,1.0
-3,200,0.9384,1.0
-2,200,0.9394,1.0
-1,200,0.9394,1.0
0,200,0.9398,1.0
