snr,n,avg_prob,det_rate
-40,200,0.4129,0.015
-39,200,0.4144,0.03
-38,200,0.4151,0.01
-37,200,0.4102,0.01
-36,200,0.4064,0.02
-35,200,0.4121,0.015
-34,200,0.4075,0.025
-33,200,0.4098,0.02
-32,200,0.4103,0.02
-31,200,0.4079,0.015
-30,200,0.415,0.015
-29,200,0.408,0.01
-28,200,0.4285,0.045
-27,200,0.4182,0.02
-26,200,0.408,0.03
-25,200,0.4247,0.06
-24,200,0.4378,0.07
-23,200,0.4208,0.04
-22,200,0.3956,0.03
-21,200,0.3838,0.07
-20,200,0.351,0.085
-19,200,0.3194,0.075
-18,200,0.2885,0.075
-17,200,0.2536,0.065
-16,200,0.2008,0.045
-15,200,0.1942,0.05
-14,200,0.16,0.01
-13,200,0.1539,0.02
-12,200,0.1393,0.01
-11,200,0.1502,0.015
-10,200,0.1387,0.01
-9,200,0.1469,0.025
-8,200,0.1333,0.01
-7,200,0.1368,0.02
-6,200,0.1262,0.005
-5,200,0.1418,0.02
-4,200,0.1381,0.02
-3,200,0.1412,0.025
-2,200,0.1578,0.02
-1,200,0.1556,0.015
0,200,0.1356,0.005
