snr,n,avg_prob,det_rate
-40,200,0.5463,0.1
-39,200,0.55,0.125
-38,200,0.5422,0.175
-37,200,0.5347,0.135
-36,200,0.5482,0.17
-35,200,0.5427,0.185
-34,200,0.5475,0.185
-33,200,0.5487,0.175
-32,200,0.5497,0.22
-31,200,0.5478,0.22
-30,200,0.5449,0.205
-29,200,0.5466,0.165
-28,200,0.5598,0.27
-27,200,0.5563,0.245
-26,200,0.5631,0.275
-25,200,0.5575,0.3
-24,200,0.5706,0.4
-23,200,0.5717,0.42
-22,200,0.5927,0.475
-21,200,0.6221,0.645
-20,200,0.6272,0.725
-19,200,0.6744,0.765
-18,200,0.7275,0.89
-17,200,0.7863,0.935
-16,200,0.828,0.99
-15,200,0.881,1.0
-14,200,0.8934,1.0
-13,200,0.9,1.0
-12,200,0.9103,1.0
-11,200,0.9129,1.0
-10,200,0.9107,1.0
-9,200,0.9114,1.0
-8,200,0.9137,1.0
-7,200,0.9159,1.0
-6,200,0.9159,1.0
-5,200,0.9152,1.0
-4,200,0.9177,1.0
-3,200,0.917,1.0
-2,200,0.9168,1.0
-1,200,0.9161,1.0
0,200,0.9177,1.0
