snr,n,avg_prob,det_rate
-40,200,0.5505,0.175
-39,200,0.5453,0.15
-38,200,0.5407,0.14
-37,200,0.5489,0.155
-36,200,0.5424,0.185
-35,200,0.5463,0.17
-34,200,0.5564,0.17
-33,200,0.5433,0.205
-32,200,0.5545,0.225
-31,200,0.5488,0.185
-30,200,0.5533,0.175
-29,200,0.5501,0.28
-28,200,0.5597,0.25
-27,200,0.5679,0.31
-26,200,0.5651,0.395
-25,200,0.5777,0.435
-24,200,0.6112,0.62
-23,200,0.6174,0.675
-22,200,0.6391,0.74
-21,200,0.6764,0.845
-20,200,0.7295,0.915
-19,200,0.782,0.975
-18,200,0.8453,1.0
-17,200,0.8903,1.0
-16,200,0.9175,1.0
-15,200,0.9323,1.0
-14,200,0.9387,1.0
-13,200,0.9385,1.0
-12,200,0.9381,1.0
-11,200,0.9378,1.0
-10,200,0.9368,1.0
-9,200,0.9359,1.0
-8,200,0.9342,1.0
-7,200,0.9329,1.0
-6,200,0.9318,1.0
-5,200,0.9302,1.0
-4,200,0.9284,1.0
-3,200,0.9265,1.0
-2,200,0.9254,1.0
-1,200,0.924,1.0
0,200,0.9229,1.0
