snr,n,avg_prob,det_rate
-40,200,0.5797,0.33
-39,200,0.5856,0.285
-38,200,0.5892,0.29
-37,200,0.587,0.295
-36,200,0.5882,0.34
-35,200,0.5945,0.355
-34,200,0.5963,0.32
-33,200,0.6029,0.465
-32,200,0.6043,0.425
-31,200,0.6119,0.42
-30,200,0.6196,0.47
-29,200,0.622,0.49
-28,200,0.6543,0.59
-27,200,0.6627,0.7
-26,200,0.6755,0.695
-25,200,0.7039,0.77
-24,200,0.739,0.85
-23,200,0.7849,0.905
-22,200,0.8144,0.93
-21,200,0.8628,0.99
-20,200,0.8926,1.0
-19,200,0.9167,1.0
-18,200,0.9261,1.0
-17,200,0.926,1.0
-16,200,0.9305,1.0
-15,200,0.9293,1.0
-14,200,0.9275,1.0
-13,200,0.9261,1.0
-12,200,0.9244,1.0
-11,200,0.9217,1.0
-10,200,0.921,1.0
-9,200,0.9208,1.0
-8,200,0.92,1.0
-7,200,0.9191,1.0
-6,200,0.9187,1.0
-5,200,0.9186,1.0
-4,200,0.9185,1.0
-3,200,0.9184,1.0
-2,200,0.9174,1.0
-1,200,0.917,1.0
0,200,0.917,1.0
