SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy
-34,1,0,1,nan,0.0,nan,0.0,0.0
-32,2,0,2,nan,0.0,nan,0.0,0.0
-28,1,0,1,nan,0.0,nan,0.0,0.0
-25,1,1,0,nan,0.0,nan,0.0,0.0
-24,1,1,0,nan,0.0,nan,0.0,0.0
-23,1,0,1,nan,0.0,nan,0.0,0.0
-19,3,2,1,nan,0.0,nan,0.0,0.0
-18,2,1,1,nan,0.0,nan,0.0,0.0
-15,2,1,0,20531.9003,0.0,166.0,0.0,100.0
-14,1,0,0,54.742,100.0,1.0,100.0,100.0
-11,2,2,0,nan,0.0,nan,0.0,0.0
-10,1,1,0,nan,0.0,nan,0.0,0.0
-7,1,1,0,nan,0.0,nan,0.0,0.0
-5,1,1,0,nan,0.0,nan,0.0,0.0
-4,1,1,0,nan,0.0,nan,0.0,0.0
-1,1,0,0,3.4805,100.0,0.0,100.0,100.0
0,3,0,0,3.3037,100.0,0.0,100.0,100.0
