SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,STO_MAE_samples,STO_SuccessRate,SymbolAccuracy,SymbolAccuracyPerPacket
-29,76,1,75,nan,0.0,nan,0.0,0.0,0.0
-28,57,2,55,nan,0.0,nan,0.0,0.0,0.0
-27,72,1,71,nan,0.0,nan,0.0,0.0,0.0
-26,73,2,71,nan,0.0,nan,0.0,0.0,0.0
-25,73,1,72,nan,0.0,nan,0.0,0.0,0.0
-24,71,1,70,nan,0.0,nan,0.0,0.0,0.0
-23,62,0,62,nan,0.0,nan,0.0,0.0,0.0
-22,99,1,97,26078.7525,0.0,214.0,0.0,30.0,0.303
-21,81,0,74,321.7444,85.7143,3.2857,85.7143,55.7143,4.8148
-20,76,0,63,1844.6494,76.9231,15.3077,84.6154,76.1538,13.0263
-19,65,0,48,1490.8168,88.2353,12.0588,94.1176,88.2353,23.0769
-18,96,0,54,1208.3182,83.3333,10.0,92.8571,92.1429,40.3125
-17,76,0,14,1196.1251,83.871,9.9839,91.9355,97.4194,79.4737
-16,95,0,8,322.1931,91.954,2.7931,98.8506,99.8851,91.4737
-15,92,0,1,188.445,93.4066,1.7033,98.9011,99.8901,98.8043
-14,87,0,0,48.4881,97.7011,0.6092,100.0,100.0,100.0
-13,70,0,0,74.7047,94.2857,0.8,100.0,100.0,100.0
-12,82,0,0,74.8968,93.9024,0.6829,100.0,100.0,100.0
-11,92,0,0,36.7,97.8261,0.2935,100.0,100.0,100.0
-10,68,0,0,81.0157,92.6471,0.6618,100.0,100.0,100.0
-9,95,0,0,31.5224,97.8947,0.2737,100.0,100.0,100.0
-8,85,0,1,30.764,97.619,0.2262,100.0,100.0,98.8235
-7,84,0,1,29.4466,97.5904,0.2169,100.0,100.0,98.8095
-6,79,0,0,5.0879,100.0,0.0,100.0,100.0,100.0
-5,94,0,1,25.2075,97.8495,0.172,100.0,100.0,98.9362
0,1,0,0,3.7398,100.0,0.0,100.0,100.0,100.0
