SNR,N,PreambleMissed,OffsetFail,CFO_MAE_Hz,CFO_SuccessRate,CFO_SuccessRatePerPacket,STO_MAE_samples,STO_SuccessRate,STO_SuccessRatePerPacket,SymbolAccuracy,SymbolAccuracyPerPacket
-29,21,0,21,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-28,18,0,18,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-27,20,0,20,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-26,17,0,17,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-25,18,0,18,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-24,15,0,15,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-23,12,0,12,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-22,16,0,16,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-21,15,0,15,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-20,7,1,6,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0
-19,14,0,8,572.3032,83.3333,35.7143,4.8333,83.3333,35.7143,98.3333,42.1429
-18,14,0,7,3729.8123,85.7143,42.8571,30.7143,85.7143,42.8571,81.4286,40.7143
-17,22,0,8,2119.1609,92.8571,59.0909,17.5,92.8571,59.0909,95.7143,60.9091
-16,18,0,2,110.4767,93.75,83.3333,0.75,100.0,88.8889,100.0,88.8889
-15,13,0,0,120.7873,92.3077,92.3077,1.1538,92.3077,92.3077,100.0,100.0
-14,20,0,0,29.6338,100.0,100.0,0.25,100.0,100.0,100.0,100.0
-13,18,1,0,31.8115,100.0,94.4444,0.1765,100.0,94.4444,100.0,94.4444
-12,13,0,1,17.0925,100.0,92.3077,0.3333,100.0,92.3077,100.0,92.3077
-11,19,1,1,11.5838,100.0,89.4737,0.2941,100.0,89.4737,100.0,89.4737
-10,13,0,0,10.2626,100.0,100.0,0.2308,100.0,100.0,100.0,100.0
-9,15,1,0,10.1478,100.0,93.3333,0.0714,100.0,93.3333,100.0,93.3333
-8,16,0,0,5.6596,100.0,100.0,0.0625,100.0,100.0,100.0,100.0
-7,6,0,0,6.8234,100.0,100.0,0.0,100.0,100.0,100.0,100.0
-6,19,3,0,7.1991,100.0,84.2105,0.0625,100.0,84.2105,100.0,84.2105
-5,21,4,0,4.9776,100.0,80.9524,0.0588,100.0,80.9524,100.0,80.9524
